#walk left
902	50003	100	50004	100
#hide in shell
903	50005	100


# id	ani1	ani2	ani3
#
[ANIMATION_SETS]
# MARIO
1	400	401	402	403	500	501	502	503	599	404	405	406	407	408	409	410	411	504	505	506	507	508	509	510	511	10	11	12	13	14	15	16	17	18	19	20	21	22	23	512	513	514	515	24	25	516	517	518	519	26	27	520	521	522	523	28	29
# BRICK 
2	601
# GOOMBA
3	701	702
#FLOATING BRICK
4	801	802
#KOPASS
5	901	902	903
[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = Mario , 1 = Ground, 2 = BigBox, 3 = Goomba
# BRICK 
# --- platform (hint: I created the list using Excel!) ----
1	0	416	2
1	16	416	2
1	32	416	2
1	48	416	2
1	64	416	2
1	80	416	2
1	96	416	2
1	112	416	2
1	128	416	2
1	144	416	2
1	160	416	2
1	176	416	2
1	192	416	2
1	208	416	2
1	224	416	2
1	240	416	2
1	256	416	2
1	272	416	2
1	288	416	2
1	304	416	2
1	320	416	2
1	336	416	2
1	352	416	2
1	368	416	2
1	384	416	2
1	400	416	2
1	416	416	2
1	432	416	2
1	448	416	2
1	464	416	2
1	480	416	2
1	496	416	2
1	512	416	2
1	528	416	2
1	544	416	2
1	560	416	2
1	576	416	2
1	592	416	2
1	608	416	2

#----------------

1	624	400	2
1	640	400	2
1	656	400	2
1	672	400	2
1	688	400	2
1	704	400	2
1	720	400	2
1	736	400	2
1	752	400	2
1	768	400	2
1	784	400	2
1	800	400	2
1	816	400	2
1	832	400	2
1	848	400	2
1	864	400	2
1	880	400	2
1	896	400	2
1	912	400	2
1	928	400	2
1	944	400	2
1	960	400	2
1	976	400	2
1	992	400	2
1	1008	400	2
1	1024	400	2
1	1040	400	2
1	1056	400	2
1	1072	400	2

#----------

1	1152	416	2
1	1168	416	2
1	1184	416	2
1	1200	416	2
1	1216	416	2
1	1232	416	2
1	1248	416	2
1	1264	416	2
1	1280	416	2
1	1296	416	2
1	1312	416	2
1	1328	416	2
1	1344	416	2
1	1360	416	2
1	1376	416	2
1	1392	416	2
1	1408	416	2
1	1424	416	2
1	1440	416	2
1	1456	416	2
1	1472	416	2
1	1488	416	2

#---------

1	1536	416	2
1	1552	416	2
1	1568	416	2
1	1584	416	2
1	1600	416	2

#---------------

1	1664	416	2
1	1680	416	2
1	1696	416	2
1	1712	416	2
1	1728	416	2
1	1744	416	2
1	1760	416	2
1	1776	416	2
1	1792	416	2
1	1808	416	2
1	1824	416	2
1	1840	416	2
1	1856	416	2
1	1872	416	2
1	1888	416	2
1	1904	416	2
1	1920	416	2
1	1936	416	2
1	1952	416	2
1	1968	416	2
1	1984	416	2
1	2000	416	2
1	2016	416	2
1	2032	416	2
1	2048	416	2
1	2064	416	2
1	2080	416	2
1	2096	416	2
1	2112	416	2
1	2128	416	2
1	2144	416	2
1	2160	416	2
1	2176	416	2
1	2192	416	2
1	2208	416	2
1	2224	416	2

#---------------

1	2256	416	2
1	2272	416	2
1	2288	416	2
1	2304	416	2
1	2320	416	2
1	2336	416	2
1	2352	416	2
1	2368	416	2
1	2384	416	2
1	2400	416	2
1	2416	416	2
1	2432	416	2
1	2448	416	2
1	2464	416	2
1	2480	416	2
1	2496	416	2
1	2512	416	2
1	2528	416	2
1	2544	416	2
1	2560	416	2
1	2576	416	2
1	2592	416	2
1	2608	416	2
1	2624	416	2
1	2640	416	2
1	2656	416	2
1	2672	416	2
1	2688	416	2
1	2704	416	2
1	2720	416	2
1	2736	416	2
1	2752	416	2
1	2768	416	2
1	2784	416	2
1	2800	416	2

#===== CLOUND==========
1	1408	192	2
1	1424	192	2
1	1440	192	2
1	1456	192	2

#==========BIG BOX============
2	240	368	0	3	3
2	272	336	0	3	5
2	400	368	0	5	3
2	464	336	0	4	5
2	512	384	0	6	2
2	512	304	0	4	7
2	1264	384	0	7	2
2	1296	352	0	7	4
2	1328	320	0	7	6
2	2144	368	0	3	3
2	2176	272	0	3	9
2	1312	144	0	4	2

#============= GOMMBA===========

3	195	400	3
#3	485	400	3

#=========== PIPE ==========
4	352	368	0	3
4	1792	384	0	2
4	1856	368	0	3
4	2256	112	0	13
4	2256	368	0	3
4	2320	384	0	2
4	623	400	0	1

#=======Floating Brick========
5	176	352	4
5	192	352	4
5	224	304	4
5	240	304	4

#========= KOOPAS=====
6	532	352	5
# MARIO
0	50.0	250	1

